,log,number_of_clusters,clustering_technique,discovery_algo,align_weighted_average_f1,runtime,distance_metric,token_weighted_average_f1,f1_score_threshold,max_distance,minimum_cluster_size,neighbourhood_size,meta,flag_condition,align_weighted_average_fitness,align_weighted_average_precision,token_weighted_average_precision,token_weighted_average_fitness,clusters,number_of_traces,number_of_variants,number_of_activities,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
160,road,4,K-means,inductive miner,0.8599521671663103,,levenshtein,,0.95,2,300,30,,yes,1.0,0.7709651412933619,,,"{'cluster 49970': 0.9999950982074145, 'cluster 78396': 0.76188267542017, 'cluster 20872': 0.8986936208623888, 'cluster 1136': 0.7558139534883721}",150370.0,231.0,11.0,49970.0,78396.0,20872.0,1136.0,0.0
161,road,4,K-means,inductive miner,0.8601171252553796,,levenshtein,,0.85,2,300,30,,yes,1.0,0.7711820727850555,,,"{'cluster 49970': 0.9999950982074145, 'cluster 78396': 0.76188267542017, 'cluster 20872': 0.8986936208623888, 'cluster 1136': 0.7776496996905903}",150370.0,231.0,11.0,49970.0,78396.0,20872.0,1136.0,0.0
162,road,4,K-means,inductive miner,0.9546985010563384,,levenshtein,,0.85,2,300,10,,yes,1.0,0.9160683242538292,,,"{'cluster 49970': 0.9999950982074145, 'cluster 78016': 0.9419818295942843, 'cluster 20899': 0.9123088332564991, 'cluster 1489': 0.6958231138791671}",150370.0,231.0,11.0,49970.0,78016.0,20899.0,1489.0,0.0
163,road,5,K-means,inductive miner,0.9552838349892632,,levenshtein,,0.85,2,300,10,,yes,1.0,0.9168507002999056,,,"{'cluster 49970': 0.9999950982074145, 'cluster 78016': 0.9419818295942843, 'cluster 20899': 0.9123088332564991, 'cluster 223': 0.9297777777777777, 'cluster 1269': 0.7246848135982742}",150370.0,231.0,11.0,49970.0,78016.0,20899.0,223.0,1269.0
164,road,5,K-means,inductive miner,0.8599512222743197,,levenshtein,,0.85,2,300,30,,yes,1.0,0.771033046480379,,,"{'cluster 49970': 0.9999950982074145, 'cluster 78396': 0.76188267542017, 'cluster 20872': 0.8986936208623888, 'cluster 302': 0.9060639202819297, 'cluster 837': 0.7018053927315357}",150370.0,231.0,11.0,49970.0,78396.0,20872.0,302.0,837.0
165,road,5,K-means,inductive miner,0.859933922841277,,levenshtein,,0.95,2,300,30,,yes,1.0,0.7710125658297646,,,"{'cluster 49970': 0.9999950982074145, 'cluster 78396': 0.76188267542017, 'cluster 20872': 0.8986936208623888, 'cluster 302': 0.9060639202819297, 'cluster 837': 0.6986973439350365}",150370.0,231.0,11.0,49970.0,78396.0,20872.0,302.0,837.0
166,KIM,4,DBSCAN,inductive miner,0.8381839547792376,16.478222763999998,levenshtein,,0.95,2,300,10,,yes,1.0,0.7633439609666437,,,"{'cluster 3660': 1.0, 'cluster 6762': 1.0, 'cluster 3442': 1.0, 'cluster 10906': 0.632479053721045}",24770.0,1174.0,18.0,3660.0,6762.0,3442.0,10906.0,0.0
167,bpi2013,4,DBSCAN,inductive miner,0.8127876291789979,36.73712955100001,levenshtein,,0.95,2,300,10,,yes,1.0,0.6911856522213865,,,"{'cluster 2508': 0.8894630601534114, 'cluster 1704': 0.8422657329331618, 'cluster 345': 0.886002886002886, 'cluster 2997': 0.7234342980861833}",7554.0,1511.0,4.0,2508.0,1704.0,345.0,2997.0,0.0
168,KIM,3,K-means,inductive miner,0.7719465300209541,17.040201729,levenshtein,,0.95,2,300,10,,no,1.0,0.6495100437528952,,,"{'cluster 10085': 0.9288270041002985, 'cluster 8601': 0.7133894906995083, 'cluster 6084': 0.5946798492375167}",24770.0,1174.0,18.0,10085.0,8601.0,6084.0,0.0,0.0
169,KIM,4,K-means,inductive miner,0.7817570398022727,15.380904162000006,levenshtein,,0.95,2,300,10,,no,1.0,0.664649820234455,,,"{'cluster 10085': 0.9288270041002985, 'cluster 8601': 0.7133894906995083, 'cluster 771': 1.0, 'cluster 5313': 0.5815995727544349}",24770.0,1174.0,18.0,10085.0,8601.0,771.0,5313.0,0.0
